Rank,Name,Visits,lat,lng
1,"Target / 18305 Alderwood Mall Pkwy, Lynnwood, WA, United States",2036124,47.83255491,-122.2659848
2,"Target / 3320 S 23rd St, Tacoma, WA, United States",1994079,47.23775198,-122.4802985
3,"Target / 13950 NE 178th Pl, Woodinville, WA, United States",1755491,47.75903552,-122.154068
4,"Target / 3310 S Meridian, Puyallup, WA, United States",1548847,47.15997693,-122.2952231
5,"Target / 755 NW Gilman Blvd, Issaquah, WA, United States",1529826,47.54176387,-122.0506441
6,"Target / 10302 156th St E, Puyallup, WA, United States",1527335,47.11288885,-122.2916662
7,"Target / 1215 N Landing Way, Renton, WA, United States",1485331,47.49625714,-122.1998517
8,"Target / 2201 S Commons, Federal Way, WA, United States",1469152,47.3130695,-122.3052311
9,"Target / 301 Strander Blvd, Tukwila, WA, United States",1461693,47.45518541,-122.2589334
10,"Target / 17700 NE 76th St, Redmond, WA, United States",1410518,47.6725464,-122.1034468
11,"Target / 5618 Lakewood Town Center Blvd SW, Lakewood, WA, United States",1410272,47.1631129,-122.5114361
12,"Target / 405 SE Everett Mall Way, Everett, WA, United States",1370193,47.91045435,-122.2273155
13,"Target / 26301 104th Ave SE, Kent, WA, United States",1305197,47.36600731,-122.2034164
14,"Target / 16818 Twin Lakes Ave, Marysville, WA, United States",1285735,48.1489489,-122.1927481
15,"Target / 11400 51st Ave NW, Gig Harbor, WA, United States",1278391,47.36131648,-122.6079747
16,"Target / 9601 Market Pl, Lake Stevens, WA, United States",1252088,47.99910605,-122.101281
17,"Target / 4053 Factoria Square Mall SE, Bellevue, WA, United States",1185260,47.57375539,-122.1735135
18,"Target / 9400 192nd Ave E, Bonney Lake, WA, United States",1136295,47.17255539,-122.172303
19,"Target / 2800 SW Barton St, Seattle, WA, United States",1050824,47.52225203,-122.3687549
20,"Target / 1401 2nd Ave, Seattle, WA, United States",997170,47.6086499,-122.3387787
